osmid,y,x,street_count,highway,ref,junction,railway,geometry
21638845,41.3700925,2.187743,3,,,,,POINT (2.187743 41.3700925)
21638865,41.3767732,2.1906313,1,,,,,POINT (2.1906313 41.3767732)
21638867,41.3782089,2.1889331,4,,,,,POINT (2.1889331 41.3782089)
21638868,41.3784394,2.1899711,3,,,,,POINT (2.1899711 41.3784394)
21638869,41.3785912,2.1906605,4,,,,,POINT (2.1906605 41.3785912)
21638874,41.3805208,2.1871041,3,,,,,POINT (2.1871041 41.3805208)
21638877,41.3791109,2.1891407,4,,,,,POINT (2.1891407 41.3791109)
21638878,41.3792994,2.1900047,4,,,,,POINT (2.1900047 41.3792994)
21638882,41.3805427,2.1878203,4,,,,,POINT (2.1878203 41.3805427)
21638889,41.3821601,2.1841254,3,,,,,POINT (2.1841254 41.3821601)
21638890,41.3822566,2.1839229,3,,,,,POINT (2.1839229 41.3822566)
21638891,41.3826159,2.1831984,4,,,,,POINT (2.1831984 41.3826159)
21638917,41.376012,2.1781453,3,,,,,POINT (2.1781453 41.376012)
21638920,41.3754696,2.1776314,3,,,,,POINT (2.1776314 41.3754696)
21638921,41.3756032,2.1773937,3,,,,,POINT (2.1773937 41.3756032)
21638922,41.3757004,2.1773643,3,,,,,POINT (2.1773643 41.3757004)
21639537,41.324466,2.1194798,3,,,,,POINT (2.1194798 41.324466)
26057050,41.3748782,2.1485618,3,,,,,POINT (2.1485618 41.3748782)
26057076,41.3733143,2.1762752,3,,,,,POINT (2.1762752 41.3733143)
26057116,41.3857548,2.1701372,4,,,,,POINT (2.1701372 41.3857548)
26057125,41.3873948,2.1685475,4,,,,,POINT (2.1685475 41.3873948)
26057131,41.3888075,2.1723496,5,,,,,POINT (2.1723496 41.3888075)
26057304,41.3865457,2.1663094,4,,,,,POINT (2.1663094 41.3865457)
26057312,41.389593,2.16837,4,,,,,POINT (2.16837 41.389593)
26057341,41.3893208,2.1736834,4,,,,,POINT (2.1736834 41.3893208)
26057342,41.3899292,2.1753258,4,,,,,POINT (2.1753258 41.3899292)
26057345,41.3892243,2.1762337,3,,,,,POINT (2.1762337 41.3892243)
26057346,41.3889575,2.1758863,3,,,,,POINT (2.1758863 41.3889575)
26057347,41.3889558,2.1737424,3,,,,,POINT (2.1737424 41.3889558)
26057388,41.3838266,2.1608564,4,,,,,POINT (2.1608564 41.3838266)
26057389,41.3846778,2.1619691,4,,,,,POINT (2.1619691 41.3846778)
26198831,41.3804334,2.1563247,4,,,,,POINT (2.1563247 41.3804334)
26198833,41.3795841,2.1551756,4,,,,,POINT (2.1551756 41.3795841)
26198844,41.3778687,2.1529122,4,,,,,POINT (2.1529122 41.3778687)
30227025,41.3782059,2.1733456,3,,,,,POINT (2.1733456 41.3782059)
30227027,41.3775175,2.1745094,1,,,,,POINT (2.1745094 41.3775175)
30227032,41.3777597,2.1728957,3,,,,,POINT (2.1728957 41.3777597)
30227034,41.3770587,2.1739954,1,,,,,POINT (2.1739954 41.3770587)
30227035,41.3805733,2.1708255,3,,,,,POINT (2.1708255 41.3805733)
30227037,41.3791144,2.1721135,1,,,,,POINT (2.1721135 41.3791144)
30227048,41.3786939,2.1705237,2,,,,,POINT (2.1705237 41.3786939)
30227049,41.3782126,2.1711198,2,,,,,POINT (2.1711198 41.3782126)
30227050,41.3778764,2.1717029,4,,,,,POINT (2.1717029 41.3778764)
30227052,41.3774098,2.1725123,3,,,,,POINT (2.1725123 41.3774098)
30227068,41.3773903,2.1711983,3,,,,,POINT (2.1711983 41.3773903)
30227131,41.3811112,2.1651064,3,,,,,POINT (2.1651064 41.3811112)
30227132,41.3812005,2.1659327,4,,,,,POINT (2.1659327 41.3812005)
30227133,41.3816681,2.1667236,3,,,,,POINT (2.1667236 41.3816681)
30227134,41.3816111,2.16383,3,,,,,POINT (2.16383 41.3816111)
30227135,41.3812727,2.1638879,3,,,,,POINT (2.1638879 41.3812727)
30227136,41.380797,2.1639619,4,,,,,POINT (2.1639619 41.380797)
30227137,41.3803796,2.1640259,3,,,,,POINT (2.1640259 41.3803796)
30227139,41.3808936,2.1652572,3,,,,,POINT (2.1652572 41.3808936)
30227151,41.3825883,2.1644995,3,,,,,POINT (2.1644995 41.3825883)
30227153,41.3817581,2.1652892,3,,,,,POINT (2.1652892 41.3817581)
30227154,41.3807403,2.1664529,4,,,,,POINT (2.1664529 41.3807403)
30227156,41.3823562,2.1640673,3,,,,,POINT (2.1640673 41.3823562)
30227157,41.3820306,2.164377,4,,,,,POINT (2.164377 41.3820306)
30227158,41.3816931,2.1646959,4,,,,,POINT (2.1646959 41.3816931)
30227159,41.381356,2.1649365,3,,,,,POINT (2.1649365 41.381356)
30227160,41.3804602,2.1655627,3,,,,,POINT (2.1655627 41.3804602)
30227192,41.3837354,2.1644878,3,,,,,POINT (2.1644878 41.3837354)
30227193,41.383326,2.1649366,4,,,,,POINT (2.1649366 41.383326)
30227194,41.3830111,2.1652713,3,,,,,POINT (2.1652713 41.3830111)
30227195,41.3826993,2.1656095,3,,,,,POINT (2.1656095 41.3826993)
30227196,41.3823117,2.1660362,4,,,,,POINT (2.1660362 41.3823117)
30227198,41.3807467,2.1677141,3,,,,,POINT (2.1677141 41.3807467)
30227228,41.3804028,2.1631144,3,,,,,POINT (2.1631144 41.3804028)
30227229,41.3803577,2.1636551,3,,,,,POINT (2.1636551 41.3803577)
30227231,41.3804058,2.1645765,3,,,,,POINT (2.1645765 41.3804058)
30227232,41.3804556,2.1655022,3,,,,,POINT (2.1655022 41.3804556)
30227233,41.3805014,2.1661378,3,,,,,POINT (2.1661378 41.3805014)
30227390,41.3821042,2.1683799,4,,,,,POINT (2.1683799 41.3821042)
30227391,41.3824395,2.168972,4,,,,,POINT (2.168972 41.3824395)
30227402,41.3831498,2.1682528,1,,,,,POINT (2.1682528 41.3831498)
30227450,41.3789074,2.1638551,3,,,,,POINT (2.1638551 41.3789074)
30227468,41.3802441,2.1696928,3,,,,,POINT (2.1696928 41.3802441)
30227487,41.3816613,2.1758448,3,,,,,POINT (2.1758448 41.3816613)
30227489,41.3824239,2.1767976,1,,,,,POINT (2.1767976 41.3824239)
30227495,41.3839611,2.1787276,4,,,,,POINT (2.1787276 41.3839611)
30236715,41.3732646,2.1627417,4,,,,,POINT (2.1627417 41.3732646)
30236716,41.3729058,2.1625876,3,,,,,POINT (2.1625876 41.3729058)
30236718,41.3725151,2.1624364,3,,,,,POINT (2.1624364 41.3725151)
30236720,41.3731607,2.1614811,3,,,,,POINT (2.1614811 41.3731607)
30236748,41.3722005,2.1630471,4,,,,,POINT (2.1630471 41.3722005)
30236749,41.3720641,2.1637054,4,,,,,POINT (2.1637054 41.3720641)
30236750,41.3719232,2.1643854,4,,,,,POINT (2.1643854 41.3719232)
30236751,41.3717782,2.165075,4,,,,,POINT (2.165075 41.3717782)
30236752,41.3716733,2.1655913,4,,,,,POINT (2.1655913 41.3716733)
30236753,41.3715787,2.1660458,3,,,,,POINT (2.1660458 41.3715787)
30236760,41.3737213,2.1616867,4,,,,,POINT (2.1616867 41.3737213)
30236761,41.3725819,2.16125,4,,,,,POINT (2.16125 41.3725819)
30236773,41.3730769,2.1633623,4,,,,,POINT (2.1633623 41.3730769)
30236779,41.3728784,2.1640046,4,,,,,POINT (2.1640046 41.3728784)
30236780,41.3714679,2.1634973,3,,,,,POINT (2.1634973 41.3714679)
30236813,41.3721659,2.126484,3,,,,,POINT (2.126484 41.3721659)
30237081,41.372685,2.1257544,3,,,,,POINT (2.1257544 41.372685)
30237104,41.3741959,2.1238666,4,,,,,POINT (2.1238666 41.3741959)
30237479,41.3819309,2.1331823,3,,,,,POINT (2.1331823 41.3819309)
30237481,41.3828506,2.1357518,4,,,,,POINT (2.1357518 41.3828506)
30237482,41.3833435,2.1370501,4,,,,,POINT (2.1370501 41.3833435)
30237483,41.3840404,2.1381687,4,,,,,POINT (2.1381687 41.3840404)
30237484,41.3847771,2.1393782,3,,,,,POINT (2.1393782 41.3847771)
30237520,41.3847725,2.1352521,3,,,,,POINT (2.1352521 41.3847725)
30237521,41.3842343,2.1355968,3,,,,,POINT (2.1355968 41.3842343)
30237530,41.3887727,2.1363201,3,,,,,POINT (2.1363201 41.3887727)
30237531,41.3885173,2.1365758,4,,,,,POINT (2.1365758 41.3885173)
30237532,41.387952,2.1371009,4,,,,,POINT (2.1371009 41.387952)
30237533,41.3868614,2.1381582,3,,,,,POINT (2.1381582 41.3868614)
30237538,41.3882225,2.1329169,3,,,,,POINT (2.1329169 41.3882225)
30237539,41.3876202,2.1335118,4,,,,,POINT (2.1335118 41.3876202)
30237540,41.387364,2.1337711,4,,,,,POINT (2.1337711 41.387364)
30237541,41.3870851,2.1340451,4,,,,,POINT (2.1340451 41.3870851)
30237542,41.3865411,2.1345827,3,,,,,POINT (2.1345827 41.3865411)
30237586,41.3856377,2.1449091,4,,,,,POINT (2.1449091 41.3856377)
30237587,41.3865079,2.1460175,4,,,,,POINT (2.1460175 41.3865079)
30237588,41.3873405,2.1471297,3,,,,,POINT (2.1471297 41.3873405)
30237606,41.385785,2.1428323,4,,,,,POINT (2.1428323 41.385785)
30237607,41.3864745,2.1437427,4,,,,,POINT (2.1437427 41.3864745)
30237610,41.3890311,2.1471617,3,,,,,POINT (2.1471617 41.3890311)
30237612,41.3907397,2.1494208,4,,,,,POINT (2.1494208 41.3907397)
30237613,41.3916165,2.1505827,4,,,,,POINT (2.1505827 41.3916165)
30237614,41.3924477,2.1517144,4,,,,,POINT (2.1517144 41.3924477)
30237615,41.3932932,2.1528513,4,,,,,POINT (2.1528513 41.3932932)
30237616,41.3941584,2.1539878,3,,,,,POINT (2.1539878 41.3941584)
30237617,41.3950168,2.1551106,3,,,,,POINT (2.1551106 41.3950168)
30237627,41.3881987,2.1437715,3,traffic_signals,,,,POINT (2.1437715 41.3881987)
30237628,41.3890419,2.1448762,4,traffic_signals,,,,POINT (2.1448762 41.3890419)
30237629,41.3898656,2.1460064,3,,,,,POINT (2.1460064 41.3898656)
30237630,41.390113,2.1462804,4,,,,,POINT (2.1462804 41.390113)
30237632,41.3916143,2.1482746,4,,,,,POINT (2.1482746 41.3916143)
30237633,41.3924805,2.1494147,4,traffic_signals,,,,POINT (2.1494147 41.3924805)
30237634,41.3933341,2.1505526,4,,,,,POINT (2.1505526 41.3933341)
30237635,41.3941775,2.1516724,3,,,,,POINT (2.1516724 41.3941775)
30237637,41.3943603,2.15143,4,,,,,POINT (2.15143 41.3943603)
30237638,41.3924756,2.1539557,4,,,,,POINT (2.1539557 41.3924756)
30237639,41.3916335,2.155085,4,,,,,POINT (2.155085 41.3916335)
30237640,41.3907538,2.1562229,4,,,,,POINT (2.1562229 41.3907538)
30237641,41.3899131,2.157333,4,,,,,POINT (2.157333 41.3899131)
30237642,41.3890454,2.1584753,4,,,,,POINT (2.1584753 41.3890454)
30237643,41.3881987,2.1595996,4,,,,,POINT (2.1595996 41.3881987)
30237645,41.3864884,2.1618459,4,,,,,POINT (2.1618459 41.3864884)
30237675,41.4064169,2.1333366,4,,,,,POINT (2.1333366 41.4064169)
30237677,41.4054372,2.1349603,4,,,,,POINT (2.1349603 41.4054372)
30237678,41.4049986,2.1354793,4,,,,,POINT (2.1354793 41.4049986)
30237679,41.4039636,2.1366181,4,,,,,POINT (2.1366181 41.4039636)
30237680,41.4034316,2.137206,4,,,,,POINT (2.137206 41.4034316)
30237682,41.4020853,2.1388823,4,,,,,POINT (2.1388823 41.4020853)
