u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,access,junction,ref,width,est_width,tunnel,bridge
21638845,885308258,0,554707785,residential,2,30,Passeig de Joan de Borbó,True,False,28.33475962697731,"LINESTRING (2.187743 41.3700925, 2.1877072 41.3698391)",,,,,,,
21638845,13175411896,0,"[4079500, 1433594636, 1522870832, 543357596, 902517725, 423227070]",residential,"['3', '4']",30,Passeig de Joan de Borbó,False,True,616.476877134593,"LINESTRING (2.187743 41.3700925, 2.1876862 41.3701691, 2.187646 41.3702497, 2.1876269 41.3702846, 2.1875931 41.3703647, 2.1876124 41.3705394, 2.1876143 41.3705512, 2.187617 41.3705677, 2.1876623 41.3708496, 2.1876664 41.3708748, 2.1877927 41.3716585, 2.1877969 41.3716845, 2.1879173 41.3724315, 2.1879222 41.3724622, 2.1879268 41.372491, 2.1879373 41.3725507, 2.1880545 41.3733609, 2.1880724 41.3734818, 2.1881072 41.3736028, 2.1881589 41.3737161, 2.1881713 41.3737433, 2.188195 41.3737952, 2.1883331 41.3740456, 2.1883549 41.3740853, 2.1884591 41.3742718, 2.1886058 41.3745392, 2.1886464 41.3746163, 2.1886594 41.3746409, 2.1886752 41.3746705, 2.1887166 41.3747483, 2.1887771 41.3748643, 2.1888306 41.3749826, 2.1888771 41.3751387, 2.1888898 41.3752142, 2.1888917 41.3752261, 2.1888927 41.3752334, 2.1888941 41.3752446, 2.1889039 41.3753126, 2.1889173 41.3754135, 2.1889299 41.3754801)",,,,,,,
21638865,30343650,0,4079505,living_street,,20,Carrer del Judici,True,False,15.4660058857643,"LINESTRING (2.1906313 41.3767732, 2.190481 41.3767404, 2.1904533 41.3767344)",,,,,,,
21638867,1636238503,0,4079509,tertiary,2,30,Carrer de Pepe Rubianes,False,True,15.733688471521592,"LINESTRING (2.1889331 41.3782089, 2.1887523 41.3781687)",,,,,,,
21638867,1403082237,0,4079509,tertiary,2,30,Carrer de Pepe Rubianes,False,False,15.417257794020834,"LINESTRING (2.1889331 41.3782089, 2.1890049 41.3782248, 2.1891103 41.3782482)",,,,,,,
21638867,30343414,0,4755002,residential,,30,Carrer de Sant Miquel,True,False,91.15027538091579,"LINESTRING (2.1889331 41.3782089, 2.1889092 41.3782688, 2.1886282 41.378973, 2.1886198 41.3789942)",,,,,,,
21638868,30343649,0,4079509,tertiary,2,30,Carrer de Pepe Rubianes,False,True,15.060789778886763,"LINESTRING (2.1899711 41.3784394, 2.189798 41.378401)",,,,,,,
21638868,30343654,0,4079509,tertiary,2,30,Carrer de Pepe Rubianes,False,False,15.09593965259855,"LINESTRING (2.1899711 41.3784394, 2.1900604 41.3784592, 2.1901446 41.3784779)",,,,,,,
21638869,30343672,0,4079509,tertiary,2,30,Carrer de Pepe Rubianes,False,False,15.374932029816833,"LINESTRING (2.1906605 41.3785912, 2.1908376 41.3786294)",,,,,,,
21638869,242318729,0,4079509,tertiary,2,30,Carrer de Pepe Rubianes,False,True,15.026537604279282,"LINESTRING (2.1906605 41.3785912, 2.1904874 41.3785539)",,,,,,,
21638869,30343583,0,4809729,residential,,30,Carrer de Grau i Torras,True,False,90.4009694303851,"LINESTRING (2.1906605 41.3785912, 2.1906385 41.3786447, 2.1904203 41.3791982, 2.1903585 41.3793482, 2.1903488 41.3793698)",,,,,,,
21638874,3643971045,0,359739475,tertiary,4,30,Passeig de Joan de Borbó,False,False,15.173971933491917,"LINESTRING (2.1871041 41.3805208, 2.1871527 41.3803893)",,,,,,,
21638874,2952200687,0,1433594637,tertiary,2,30,Passeig de Joan de Borbó,True,False,76.37089712994384,"LINESTRING (2.1871041 41.3805208, 2.1871135 41.3805792, 2.1871041 41.3806205, 2.1869298 41.3810838, 2.1868885 41.3811838)",,,,,,,
21638877,1636238506,0,359739471,residential,,30,Carrer de Sant Carles,True,False,14.899360003522233,"LINESTRING (2.1891407 41.3791109, 2.1892629 41.3791359, 2.1893127 41.3791469)",,,,,,,
21638877,30343573,0,970456887,residential,,30,Carrer de Sevilla,True,False,59.26081592810424,"LINESTRING (2.1891407 41.3791109, 2.1891313 41.379134, 2.1889492 41.3795834, 2.1889341 41.3796208)",,,,,,,
21638878,30343394,0,"[970882915, 32014575]","['living_street', 'residential']",,"['30', '20']",Carrer de l'Atlàntida,True,False,92.37706433852065,"LINESTRING (2.1900047 41.3792994, 2.189979 41.3793646, 2.1898228 41.3797609, 2.1897182 41.3800264, 2.1896909 41.3800961)",,,,,,,
21638878,242317164,0,359739471,residential,,30,Carrer de Sant Carles,True,False,14.608433457074296,"LINESTRING (2.1900047 41.3792994, 2.1900545 41.3793104, 2.1901727 41.3793364)",,,,,,,
21638882,1636238518,0,146246750,residential,,30,Carrer del Rector Bruguera,True,False,57.648091594519414,"LINESTRING (2.1878203 41.3805427, 2.1880053 41.380074, 2.1880165 41.3800456)",yes,,,,,,
21638882,30343282,0,359739473,living_street,,20,Carrer de la Maquinista,True,False,14.60816122061243,"LINESTRING (2.1878203 41.3805427, 2.1878374 41.3805466, 2.1879689 41.3805769, 2.1879877 41.3805812)",,,,,,,
21638889,242284800,0,22588067,tertiary,2,30,Pla de Palau,True,False,68.40898970663315,"LINESTRING (2.1841254 41.3821601, 2.1843632 41.382436, 2.1844777 41.3825788, 2.1845602 41.3826816)",,,,,,,
21638889,242293502,0,"[22588050, 1480864516]",tertiary,3,30,Pla de Palau,True,False,20.37765634082874,"LINESTRING (2.1841254 41.3821601, 2.1841632 41.3821413, 2.1842059 41.3821203, 2.1842369 41.3821051, 2.1843299 41.3820599)",,,,,,,
21638890,21638889,0,237715986,tertiary,3,30,Pla de Palau,True,False,20.01441404414759,"LINESTRING (2.1839229 41.3822566, 2.1841254 41.3821601)",,,,,,,
21638890,242293378,0,22588133,living_street,,,Carrer de la Reina Cristina,True,False,102.15685672315301,"LINESTRING (2.1839229 41.3822566, 2.1838631 41.3821839, 2.1832606 41.3814839)",,,,,,,
21638891,533663031,0,18512190,tertiary,3,50,Passeig d'Isabel II,True,False,163.6184419516284,"LINESTRING (2.1831984 41.3826159, 2.1831351 41.3825334, 2.1831247 41.3825206, 2.1830959 41.3824866, 2.1827271 41.3820447, 2.1825374 41.3818179, 2.1825122 41.381788, 2.1823489 41.381594, 2.1823126 41.3815546, 2.1822583 41.3814937, 2.1821454 41.381375)",,,,,,,
21638891,190971702,0,"[293505299, 514849724]",tertiary,3,30,Pla de Palau,True,False,19.151231047833292,"LINESTRING (2.1831984 41.3826159, 2.1832842 41.3825729, 2.1833903 41.3825214)",,,,,,,
21638917,190981834,0,"[245672928, 246639229]",secondary,4,50,Plaça del Portal de la Pau,True,False,30.695649015903935,"LINESTRING (2.1781453 41.376012, 2.178129 41.3760533, 2.1780974 41.3760884, 2.1780396 41.3761306, 2.1779601 41.3761574, 2.1778756 41.3761703)",,circular,,,,,
21638917,190985498,0,"[903747291, 474464196, 1408616718, 1408616719]",secondary,"['3', '4']",50,Passeig de Colom,True,False,678.4440285229568,"LINESTRING (2.1781453 41.376012, 2.1782043 41.3761093, 2.1782402 41.3761584, 2.1782656 41.3761895, 2.1783041 41.3762369, 2.1784312 41.376387, 2.1786745 41.3766946, 2.1793397 41.3775149, 2.1796979 41.3779585, 2.1797074 41.3779706, 2.1797572 41.3780319, 2.180666 41.3791571, 2.1806836 41.3791791, 2.1807006 41.3792003, 2.1808678 41.3794077, 2.1808969 41.3794439, 2.181805 41.3805714, 2.181986 41.3807962, 2.1819958 41.3808084, 2.1820343 41.3808562, 2.1820672 41.3809045, 2.182106 41.380957, 2.1821134 41.3809666, 2.1821444 41.3810102, 2.182177 41.3810559, 2.1823076 41.3812514)",,,,,,,
21638917,21638920,0,"[914891584, 4079520, 514858416, 914891583]",secondary,4,50,Plaça del Portal de la Pau,False,True,84.14538218340418,"LINESTRING (2.1781453 41.376012, 2.178158 41.3759629, 2.1781607 41.375912, 2.1781592 41.3758804, 2.1781541 41.3758431, 2.1781435 41.3758028, 2.1781208 41.3757409, 2.1780944 41.3756991, 2.1780613 41.3756587, 2.177991 41.3755978, 2.177911 41.3755437, 2.1778298 41.3755064, 2.1777529 41.3754825, 2.1776772 41.3754706, 2.1776314 41.3754696)",,circular,,,,,
21638920,21638917,0,"[4079520, 914891584, 514858416, 914891583]",secondary,4,50,Plaça del Portal de la Pau,False,False,84.14538218340418,"LINESTRING (2.1776314 41.3754696, 2.1776772 41.3754706, 2.1777529 41.3754825, 2.1778298 41.3755064, 2.177911 41.3755437, 2.177991 41.3755978, 2.1780613 41.3756587, 2.1780944 41.3756991, 2.1781208 41.3757409, 2.1781435 41.3758028, 2.1781541 41.3758431, 2.1781592 41.3758804, 2.1781607 41.375912, 2.178158 41.3759629, 2.1781453 41.376012)",,circular,,,,,
21638920,21638921,0,245672926,secondary,2,50,Plaça del Portal de la Pau,False,True,25.22277523004051,"LINESTRING (2.1776314 41.3754696, 2.1775642 41.3754886, 2.1775046 41.3755179, 2.1775018 41.3755195, 2.1774862 41.3755294, 2.1774619 41.3755449, 2.1773937 41.3756032)",,circular,,,,,
21638921,2984928319,0,"[8380803, 309051278]",secondary,3,50,Passeig de Josep Carner,True,False,164.99900077772648,"LINESTRING (2.1773937 41.3756032, 2.1773812 41.3755015, 2.1773511 41.3754238, 2.1773313 41.3753971, 2.1772967 41.3753578, 2.1772957 41.3753558, 2.1768393 41.3747772, 2.1767554 41.3746697, 2.1767252 41.374635, 2.1766486 41.374559, 2.1765606 41.3744886, 2.1765301 41.3744714, 2.176482 41.3744542, 2.176325 41.3744217)",,,,,,,
21638921,21638920,0,245672926,secondary,2,50,Plaça del Portal de la Pau,False,False,25.22277523004051,"LINESTRING (2.1773937 41.3756032, 2.1774619 41.3755449, 2.1774862 41.3755294, 2.1775018 41.3755195, 2.1775046 41.3755179, 2.1775642 41.3754886, 2.1776314 41.3754696)",,circular,,,,,
21638921,21638922,0,246638753,secondary,4,50,Plaça del Portal de la Pau,False,True,11.214464915121212,"LINESTRING (2.1773937 41.3756032, 2.177372 41.3756408, 2.1773643 41.3757004)",,circular,,,,,
21638922,21638921,0,246638753,secondary,4,50,Plaça del Portal de la Pau,False,False,11.214464915121212,"LINESTRING (2.1773643 41.3757004, 2.177372 41.3756408, 2.1773937 41.3756032)",,circular,,,,,
21639537,4471971381,0,450275259,secondary_link,4,50,Carrer de la Lletra F,False,True,55.65470611539013,"LINESTRING (2.1194798 41.324466, 2.1195415 41.3245713, 2.1195738 41.3246266, 2.119748 41.3249242)",,,,,,,
21639537,4471971376,0,901722418,secondary,5,50,Carrer Número 6,False,False,51.73733792263266,"LINESTRING (2.1194798 41.324466, 2.1192364 41.3245455, 2.1191544 41.3245722, 2.1189116 41.3246515)",,,,,,,
21639537,4471971372,0,901722419,secondary,4,50,Carrer Número 6,False,True,44.876453139387294,"LINESTRING (2.1194798 41.324466, 2.1197226 41.3243915, 2.1198199 41.3243615, 2.1199772 41.3243132)",,,,,,,
26057050,178518958,0,"[545747633, 22650940]",primary,5,50,Gran Via de les Corts Catalanes,True,False,116.04675841050842,"LINESTRING (2.1485618 41.3748782, 2.1485599 41.3748265, 2.1485593 41.3747969, 2.1485559 41.3747597, 2.1485309 41.3747181, 2.1484674 41.3746572, 2.1481234 41.3743877, 2.1480829 41.3743557, 2.1479642 41.3742484, 2.1479477 41.374235, 2.1479202 41.3742143, 2.1477349 41.3740736)",,,C-31,17,,,
26057050,168319807,0,"[887560129, 185961550]",primary,7,50,Plaça d'Espanya,True,False,57.48644847069736,"LINESTRING (2.1485618 41.3748782, 2.1485727 41.374854, 2.1486081 41.3747986, 2.1486534 41.3747475, 2.1487081 41.3747, 2.1487701 41.3746618, 2.1488392 41.3746289, 2.1489137 41.3746035, 2.1489739 41.3745899, 2.1490179 41.3745819, 2.1490731 41.3745772)",,circular,,28,,,
26057076,190958411,0,18508391,unclassified,3,50,Ronda del Port,True,False,24.3732375079043,"LINESTRING (2.1762752 41.3733143, 2.1763699 41.3733029, 2.1764623 41.3732673, 2.1765014 41.3732409, 2.1765224 41.3732156)",,,,,,,
26057076,9425413590,0,294871189,secondary,4,50,Plaça de les Drassanes,True,False,41.586429631886666,"LINESTRING (2.1762752 41.3733143, 2.1763721 41.3733263, 2.1764555 41.3733467, 2.1765322 41.3733703, 2.1766014 41.3733965, 2.1766604 41.3734257, 2.1767242 41.3734636)",,circular,,14,,,
26057116,1126640615,0,"[931616773, 603022119, 914791432, 1478847731, 126304603]",secondary,3,50,Plaça de Catalunya,True,False,115.36537471822022,"LINESTRING (2.1701372 41.3857548, 2.1700047 41.3859007, 2.1699754 41.3859349, 2.1698976 41.3860213, 2.1697962 41.3861336, 2.1697669 41.3861671, 2.1696945 41.386254, 2.1694773 41.386515, 2.1694546 41.3865427, 2.169434 41.3865661, 2.1693842 41.3866248)",,,,,,,
